Source,Location ID,City,State,Country,Latitude,Longitude,Elevation,,,
TMY3,123456,Jinta,GS,China,40.06,98.675,1266,,,
Year,Month,Day,Hour,GHI,DNI ,DIF,AP,RH ,WS ,WD
2014,1,4,22,0,0,0,880.3,75,2.275,293.4
2014,1,4,23,0,0,0,880.6,77.8,1.9,282.1
2014,1,5,0,0,0,0,880.5,77.6,1.4,267.9
2014,1,5,1,0,0,0,880.3,76.9,0.875,247.4
2014,1,5,2,0,0,0,880.3,78.8,0.55,200.9
2014,1,5,3,0,0,0,880.3,80.3,0.7,171.3
2014,1,5,4,0,0,0,880.6,81.2,0.825,165.4
2014,1,5,5,0,0,0,880.5,81.9,0.925,159.4
2014,1,5,6,0,0,0,880,82.5,1.2,146.3
2014,1,5,7,0,0,0,879.9,82.6,1.55,131.6
2014,1,5,8,1,20.3,0.8,880.3,84.4,1.65,129.2
2014,1,5,9,45.8,176.4,28,880.9,84.7,1.5,128
2014,1,5,10,164.8,344,79.3,881.6,81.5,1.45,122.5
2014,1,5,11,290.5,411.5,130.5,881.9,75.9,1.875,108.7
2014,1,5,12,352.5,410.6,155.5,881.6,69.6,2.725,97.3
2014,1,5,13,417.8,503.7,145,880.8,63.3,3.525,88.4
2014,1,5,14,413.8,536.7,127,880,59.9,3.85,84.5
2014,1,5,15,333,453,126.8,879.5,58.1,3.875,82.8
2014,1,5,16,215.3,327.5,113.5,879.8,56.3,3.575,78.6
2014,1,5,17,106.3,266.4,60,880.4,56.5,2.75,73.1
2014,1,5,18,12.5,84,8.3,881.1,61.8,1.625,73.5
2014,1,5,19,0,0,0,881.7,65.9,1.325,77.2
2014,1,5,20,0,0,0,882.3,71.5,1.4,89.1
2014,1,5,21,0,0,0,882.6,75.6,1.475,93
2014,1,5,22,0,0,0,882.7,78.9,1.25,93.6
2014,1,5,23,0,0,0,882.8,79.8,0.625,92.5
2014,1,6,0,0,0,0,882.9,81.7,0.325,233.1
2014,1,6,1,0,0,0,882.5,82.1,0.95,257.4
2014,1,6,2,0,0,0,882.4,82.5,1.375,255.9
2014,1,6,3,0,0,0,882.3,83.2,1.6,253.7
2014,1,6,4,0,0,0,882.2,84,1.725,251
2014,1,6,5,0,0,0,882,83.6,1.9,250.3
2014,1,6,6,0,0,0,881.8,85.1,2,252
2014,1,6,7,0,0,0,881.9,85.3,2,250.3
2014,1,6,8,1,19.1,0.8,882.1,86.5,1.925,237.6
2014,1,6,9,40.5,138.6,28.8,882.5,85.1,1.825,227.8
2014,1,6,10,147.8,262.4,87,882.8,78.8,1.725,225.2
2014,1,6,11,245.8,301,136.3,882.9,70.4,1.75,237.6
2014,1,6,12,313.5,288.3,188.5,882.7,61.9,2.3,261.5
2014,1,6,13,292,161,234.3,881.9,52.5,3.275,277.4
